nm_loja;nm_cidade;sg_estado;nm_regiao;nm_produto;nm_subcategoria;nm_categoria;nm_departamento;nm_promocao;de_tipo_reducao_preco;de_veiculo_divulgacao;de_tipo_display;dt_compra;nm_dia_da_semana;dt_mes;dt_ano;fl_feriado;dt_dia;dt_semestre;vl_total_vendas;qtd_unidades_antigas;qtd_unidades_vendidas;vl_total_custo;qtd_clientes;nm_pais
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Nenhum;2006-11-10;Quinta;11;2006;Não;10;4;43.45;59;59;36.95;46;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Nenhum;2006-11-11;Sexta;11;2006;Não;11;4;34.21;70;70;27.76;43;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Nenhum;2006-11-12;Sábado;11;2006;Não;12;4;45.54;93;93;36.93;75;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Nenhum;2006-11-14;Segunda;11;2006;Não;14;4;0.16;0;0;0.14;0;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Rack;2007-01-16;Segunda;01;2007;Não;16;1;14.36;20;20;12.87;17;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-02;Domingo;10;2006;Não;02;4;109.02;99;99;95.26;77;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-03;Segunda;10;2006;Não;03;4;24.43;50;50;20.07;29;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-10;Segunda;10;2006;Não;10;4;0.09;0;0;0.07;0;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-19;Quarta;10;2006;Não;19;4;18.19;25;25;14.66;18;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-25;Terça;10;2006;Não;25;4;84.46000000000001;97;97;70.50999999999999;86;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-26;Quarta;10;2006;Não;26;4;5.0;7;7;4.27;6;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-27;Quinta;10;2006;Não;27;4;13.22;27;27;11.35;23;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-19;Sábado;11;2006;Não;19;4;54.15;74;74;47.99;46;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-21;Segunda;11;2006;Não;21;4;52.87;72;72;43.83;71;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-10;Sábado;12;2006;Não;10;4;11.88;24;24;10.44;19;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-20;Terça;12;2006;Não;20;4;11.1;23;23;9.12;15;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-02;Segunda;01;2007;Não;02;1;66.5;90;90;59.28;82;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-26;Quinta;01;2007;Não;26;1;4.96;7;7;4.41;4;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-28;Sábado;01;2007;Não;28;1;99.51;90;90;88.78;78;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-29;Domingo;01;2007;Não;29;1;32.4;66;66;28.41;34;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-03;Sexta;02;2007;Não;03;1;90.22;82;82;73.17;50;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-06;Segunda;02;2007;Não;06;1;79.22;72;72;67.27;41;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-08;Quarta;02;2007;Não;08;1;81.58;74;74;68.84;52;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-10;Sexta;02;2007;Não;10;1;15.12;31;31;12.39;15;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-15;Quarta;02;2007;Não;15;1;100.57000000000001;105;105;85.96000000000001;57;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-16;Quinta;02;2007;Não;16;1;106.28;96;96;93.82;75;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-24;Sexta;02;2007;Não;24;1;103.08;93;93;89.54;63;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-26;Domingo;02;2007;Não;26;1;75.91999999999999;101;101;68.14;65;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-03;Domingo;03;2007;Não;03;1;52.97;72;72;43.52;42;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-06;Quarta;03;2007;Não;06;1;1.85;4;4;1.51;3;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-14;Quinta;03;2007;Não;14;1;27.17;55;55;23.63;42;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Garoto;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-24;Domingo;03;2007;Não;24;1;64.62;59;59;54.55;37;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Nenhum;2006-11-15;Terça;11;2006;Não;15;4;71.6;97;97;62.77;89;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Panfletagem;Sem redução;Rádio;Rack;2007-01-12;Quinta;01;2007;Sim;12;1;1.94;4;4;1.75;3;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-06;Quinta;10;2006;Não;06;4;39.01;80;80;34.5;71;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-17;Segunda;10;2006;Não;17;4;93.0;84;84;78.88;59;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-23;Domingo;10;2006;Não;23;4;44.22;60;60;39.05;52;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-24;Segunda;10;2006;Não;24;4;26.3;54;54;23.23;50;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-27;Quinta;10;2006;Não;27;4;102.62;93;93;90.45;81;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-30;Domingo;10;2006;Não;30;4;50.67;46;46;41.96;34;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-05;Sábado;11;2006;Não;05;4;1.13;2;2;0.93;2;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-08;Terça;11;2006;Não;08;4;43.87;60;60;37.88;58;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-20;Domingo;11;2006;Não;20;4;36.76;50;50;32.67;26;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-28;Segunda;11;2006;Não;28;4;46.85;64;64;38.56;40;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-03;Sábado;12;2006;Não;03;4;30.09;41;41;25.53;29;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-05;Segunda;12;2006;Não;05;4;15.1;21;21;12.14;16;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-07;Quarta;12;2006;Não;07;4;70.6;64;64;59.63;40;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-16;Sexta;12;2006;Não;16;4;4.63;9;9;3.99;6;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-22;Quinta;12;2006;Não;22;4;82.71000000000001;133;133;72.75;122;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-28;Quarta;12;2006;Não;28;4;43.2;59;59;38.02;55;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-04;Quarta;01;2007;Não;04;1;56.42;77;77;47.04;50;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-22;Domingo;01;2007;Não;22;1;52.29;67;67;45.71;53;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-06;Segunda;02;2007;Não;06;1;19.22;26;26;16.29;22;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-14;Terça;02;2007;Não;14;1;14.34;13;13;11.78;9;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-18;Sábado;02;2007;Não;18;1;24.93;51;51;21.6;27;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-26;Domingo;02;2007;Não;26;1;25.62;52;52;22.09;45;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-01;Sexta;03;2007;Não;01;1;27.2;37;37;22.95;36;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-04;Segunda;03;2007;Não;04;1;97.67;89;89;86.82;64;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-05;Terça;03;2007;Não;05;1;57.31;52;52;51.06;47;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-07;Quinta;03;2007;Não;07;1;38.02;78;78;32.98;55;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-13;Quarta;03;2007;Não;13;1;72.53;99;99;60.57;81;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-14;Quinta;03;2007;Não;14;1;71.88;98;98;60.15;64;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-15;Sexta;03;2007;Não;15;1;2.28;5;5;1.91;3;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-18;Segunda;03;2007;Não;18;1;56.05;76;76;49.3;74;Brasil
Loja 1;Rio Branco;AC;Norte;Bombom Lacta;Guloseimas;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-19;Terça;03;2007;Não;19;1;83.84;77;77;71.47;72;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Noite maluca;Temporário;Jornal diário;Fim do corredor;2007-03-22;Sexta;03;2007;Não;22;1;28.14;45;45;39.44;35;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-08;Sábado;10;2006;Não;08;4;1.76;3;3;1.46;2;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-14;Sexta;10;2006;Não;14;4;61.9;90;90;50.83;55;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-15;Sábado;10;2006;Não;15;4;50.3;73;73;44.13;48;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-20;Quinta;10;2006;Não;20;4;152.68;98;98;137.05;88;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-25;Terça;10;2006;Não;25;4;68.44;44;44;54.92;40;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-08;Terça;11;2006;Não;08;4;20.64;20;20;17.9;10;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-09;Quarta;11;2006;Não;09;4;24.33;35;35;20.14;35;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-10;Quinta;11;2006;Não;10;4;30.49;20;20;24.88;12;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-16;Quarta;11;2006;Não;16;4;8.81;13;13;7.61;10;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-25;Sexta;11;2006;Não;25;4;147.14;95;95;123.26;93;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-02;Sexta;12;2006;Não;02;4;22.27;22;22;19.48;21;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-10;Sábado;12;2006;Não;10;4;101.62;98;98;85.75;70;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-13;Terça;12;2006;Não;13;4;47.39;69;69;40.03;37;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-22;Quinta;12;2006;Não;22;4;32.58;47;47;28.7;42;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-03;Terça;01;2007;Não;03;1;12.94;13;13;11.49;7;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-06;Sexta;01;2007;Não;06;1;14.01;20;20;12.24;14;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-22;Domingo;01;2007;Não;22;1;77.4;75;75;67.24;62;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-02;Quinta;02;2007;Não;02;1;139.8;90;90;125.18;87;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-07;Terça;02;2007;Não;07;1;26.36;25;25;21.77;20;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-15;Quarta;02;2007;Não;15;1;59.79;58;58;50.81;51;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-20;Segunda;02;2007;Não;20;1;66.06;96;96;53.31;88;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-26;Domingo;02;2007;Não;26;1;65.68;95;95;55.38;76;Brasil
Loja 1;Rio Branco;AC;Norte;Cebolitos;Salgados;Comida;Mercearia;Tapete Vermelho;Instantânea;Panfleto;Nenhum;2007-03-03;Domingo;03;2007;Não;03;1;64.65;89;89;76.98;46;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Desconto Especial;Temporário;Jornal diário;Nenhum;2006-10-01;Sábado;10;2006;Não;01;4;3.14;1;1;3.47;1;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Desconto Especial;Temporário;Jornal diário;Nenhum;2006-10-10;Segunda;10;2006;Não;10;4;170.96;84;84;188.6;49;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-17;Segunda;10;2006;Não;17;4;71.12;19;19;62.18;16;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-31;Segunda;10;2006;Sim;31;4;267.53;70;70;219.31;63;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-08;Terça;11;2006;Não;08;4;90.55;24;24;78.83;17;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-10;Quinta;11;2006;Não;10;4;117.15;46;46;97.77;32;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-13;Domingo;11;2006;Não;13;4;291.51;77;77;251.95;48;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-11;Domingo;12;2006;Não;11;4;87.27;23;23;73.29;15;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-13;Terça;12;2006;Não;13;4;30.44;12;12;25.77;9;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-14;Quarta;12;2006;Não;14;4;124.79;74;74;100.69;58;Brasil
Loja 1;Rio Branco;AC;Norte;Chester;Congelados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-15;Quinta;12;2006;Não;15;4;113.84;67;67;98.91;38;Brasil
