vl_total_vendas;qtd_unidades_antigas;qtd_unidades_vendidas;vl_total_custo;qtd_clientes;sk_loja;sk_produto;sk_calendario;sk_divulgacao
74.04;84;84;62.91;83;2;13;2;1
43.53;74;74;38.4;64;6;13;2;1
77.3;58;58;68.55;44;16;13;2;1
14.83;17;17;12.08;10;5;16;2;1
12.06;9;9;10.34;6;10;16;2;1
8.55;14;14;7.36;14;12;16;2;1
63.31;92;92;52.38;62;1;17;2;1
77.8;75;75;62.81;70;11;17;2;1
133.18;86;86;107.92;61;17;17;2;1
36.8;36;36;29.79;31;4;18;2;1
205.93;177;177;172.47;122;20;18;2;1
15.98;27;27;13.2;21;10;20;2;1
94.28;71;71;76.13;55;13;20;2;1
14.91;17;17;12.49;14;19;20;2;1
118.23;70;70;97.89;60;1;1;3;1
246.0;97;97;214.07;64;8;1;3;1
205.59;54;54;181.31;38;15;1;3;1
10.25;9;9;9.14;9;10;2;3;1
3.94;8;8;3.44;6;16;2;3;1
30.6;42;42;27.45;26;19;2;3;1
50.67;46;46;41.96;34;1;3;3;1
1.77;2;2;1.56;1;5;3;3;1
27.91;57;57;24.16;29;17;3;3;1
66.47;64;64;53.61;59;2;4;3;1
29.62;19;19;25.47;12;6;4;3;1
38.05;55;55;33.54;39;7;4;3;1
21.8;9;9;19.19;8;2;5;3;1
84.46;50;50;74.23;40;4;5;3;1
292.21;77;77;251.36;42;6;5;3;1
28.66;39;39;25.32;33;2;10;3;1
99.45;90;90;83.59;83;8;10;3;1
43.47;89;89;36.29;52;17;10;3;1
75.24;48;48;66.75;43;5;11;3;1
37.86;55;55;33.67;35;6;11;3;1
101.88;98;98;84.74;76;9;11;3;1
3.49;3;3;2.89;2;8;12;3;1
56.08;95;95;47.89;81;10;12;3;1
29.24;33;33;26.03;33;14;12;3;1
39.08;44;44;33.93;28;2;13;3;1
102.4;77;77;83.03;74;7;13;3;1
52.4;89;89;45.93;80;10;13;3;1
83.41;49;49;70.13;48;1;14;3;1
150.22;40;40;126.34;36;6;14;3;1
120.95;48;48;100.47;43;20;14;3;1
197.81;52;52;171.65;38;2;15;3;1
16.55;10;10;13.97;6;15;15;3;1
232.44;92;92;192.41;90;16;15;3;1
13.13;10;10;11.57;9;6;16;3;1
72.81;82;2;61.38;73;9;16;3;1
44.38;75;6;36.21;65;11;16;3;1
179.35;168;168;150.22;142;14;17;3;1
142.05;120;120;123.12;77;5;18;3;1
81.19;78;78;68.72;43;17;18;3;1
232.57;61;61;194.66;45;5;19;3;1
62.58;37;37;55.64;34;13;19;3;1
109.27;43;43;98.15;32;20;19;3;1
42.96;49;49;37.49;31;1;20;3;1
29.23;22;22;25.2;22;9;20;3;1
44.76;76;76;38.95;39;15;20;3;1
210.5;91;91;186.21;84;1;1;4;1
133.86;35;35;111.95;23;3;1;4;1
19.98;41;41;17.21;31;6;2;4;1
61.45;56;56;53.27;34;11;2;4;1
36.11;49;49;29.84;43;16;2;4;1
103.24;94;94;83.1;72;3;3;4;1
13.32;18;18;11.05;11;8;3;4;1
7.43;15;15;6.59;10;9;3;4;1
8.93;6;6;7.46;5;9;4;4;1
110.19;125;125;93.24;104;19;4;4;1
267.53;70;70;219.31;63;1;5;4;1
116.82;69;69;100.22;37;10;5;4;1
223.66;88;88;198.38;59;15;5;4;1
72.44;99;99;59.76;62;7;10;4;1
24.66;50;50;19.96;34;13;10;4;1
34.13;31;31;29.33;27;15;10;4;1
59.11;86;86;52.64;59;4;11;4;1
65.12;63;63;56.36;52;9;11;4;1
54.14;35;35;46.05;33;16;11;4;1
0.42;0;0;0.36;0;7;12;4;1
38.16;65;65;34.16;58;18;12;4;1
46.48;35;35;40.32;20;19;12;4;1
70.25;53;53;62.02;52;1;13;4;1
35.58;60;60;29.71;46;15;13;4;1
10.53;12;12;8.44;6;19;13;4;1
123.81;33;33;101.06;30;1;14;4;1
108.07;43;43;95.19;36;3;14;4;1
7.52;4;4;6.62;3;17;14;4;1
22.31;6;6;19.19;4;5;15;4;1
46.13;27;27;40.01;17;10;15;4;1
67.37;27;27;55.76;20;12;15;4;1
15.62;26;26;14.04;21;10;16;4;1
24.22;27;27;19.91;16;16;16;4;1
38.29;29;29;32.57;24;20;16;4;1
134.89;135;135;119.55;113;8;17;4;1
71.71;69;69;59.63;59;12;17;4;1
33.75;49;49;29.06;38;1;18;4;1
120.28;77;77;106.17;61;10;18;4;1
19.08;18;18;15.41;12;19;18;4;1
227.88;90;90;190.55;53;2;19;4;1
149.9;39;39;129.88;22;16;19;4;1
20.98;12;12;17.96;8;20;19;4;1
81.17;92;92;68.37;64;8;20;4;1
35.4;60;60;30.11;47;17;20;4;1
73.65;55;55;59.31;50;19;20;4;1
44.78;18;18;37.39;11;1;1;5;1
33.34;9;9;28.12;8;12;1;5;1
130.96;77;77;110.08;64;15;1;5;1
82.13;74;74;69.01;65;4;2;5;1
30.79;42;42;25.35;23;10;2;5;1
45.44;93;93;37.48;72;15;2;5;1
43.87;60;60;37.88;58;1;3;5;1
9.17;19;19;7.39;14;17;3;5;1
74.44;68;68;62.61;41;19;3;5;1
20.64;20;20;17.9;10;1;4;5;1
39.83;26;26;34.94;24;3;4;5;1
5.08;7;7;4.37;7;15;4;5;1
90.55;24;24;78.83;17;1;5;5;1
16.35;10;10;13.67;6;5;5;5;1
6.92;3;3;5.94;2;20;5;5;1
79.07;72;72;69.47;50;3;10;5;1
55.76;76;76;46.81;73;15;10;5;1
32.92;67;67;28.03;34;18;10;5;1
6.05;4;4;5.34;3;5;11;5;1
61.01;59;59;54.32;58;7;11;5;1
52.15;76;76;41.78;43;17;11;5;1
130.86;99;99;110.11;57;2;12;5;1
79.96;90;90;68.38;51;6;12;5;1
38.24;65;65;31.87;52;16;12;5;1
32.23;36;36;27.36;28;1;13;5;1
6.93;12;12;6.01;9;16;13;5;1
54.2;41;41;47.62;41;19;13;5;1
215.08;57;57;172.17;32;5;14;5;1
132.9;52;52;115.51;27;6;14;5;1
131.9;78;78;106.1;77;13;14;5;1
143.18;85;85;126.38;71;3;15;5;1
237.99;63;63;206.54;45;8;15;5;1
138.73;55;55;118.2;28;20;15;5;1
25.13;28;6;22.47;17;13;16;5;1
96.95;73;3;81.01;40;16;16;5;1
12.87;22;22;10.86;19;17;16;5;1
77.12;50;50;69.06;48;3;17;5;1
57.67;84;84;46.37;54;17;17;5;1
29.9;29;29;25.04;21;19;17;5;1
67.35;43;43;59.7;40;3;18;5;1
96.77;93;93;80.44;74;7;18;5;1
1.74;3;3;1.46;2;18;18;5;1
16.3;6;6;13.42;6;7;19;5;1
167.44;96;96;149.31;58;16;19;5;1
15.08;17;17;13.47;15;7;20;5;1
27.88;21;21;23.07;16;15;20;5;1
3.22;5;5;2.75;5;18;20;5;1
150.42;89;89;120.38;71;1;1;6;1
146.82;58;58;118.02;43;2;1;6;1
250.71;66;66;211.03;50;3;1;6;1
44.39;60;60;37.13;58;12;2;6;1
3.59;3;3;3.01;2;17;2;6;1
18.32;37;37;15.94;23;19;2;6;1
71.49;65;65;59.73;36;2;3;6;1
23.71;48;48;19.71;31;6;3;6;1
15.82;22;22;14.12;16;16;3;6;1
79.16;76;76;70.77;45;4;4;6;1
107.24;69;69;91.01;43;8;4;6;1
34.59;50;50;28.45;27;13;4;6;1
214.04;56;56;179.13;31;2;5;6;1
126.75;75;75;113.42;68;13;5;6;1
109.9;43;43;97.26;29;20;5;6;1
16.78;15;15;14.93;11;1;10;6;1
42.73;58;58;35.2;43;12;10;6;1
23.19;47;47;19.01;35;16;10;6;1
53.29;77;77;43.54;52;5;11;6;1
101.16;65;65;89.23;52;10;11;6;1
38.89;38;38;31.14;25;20;11;6;1
69.77;18;18;58.93;18;4;14;6;1
169.0;67;67;144.84;42;14;14;6;1
110.31;65;65;90.7;34;15;14;6;1
111.08;66;66;93.76;56;4;15;6;1
363.95;96;96;318.29;50;8;15;6;1
161.55;64;64;143.47;33;20;15;6;1
16.19;16;16;13.15;9;8;17;6;1
54.72;79;79;47.33;68;16;17;6;1
67.34;43;43;56.93;33;20;17;6;1
78.18;66;66;66.44999999999999;49;2;18;6;1
1.46;2;2;1.18;2;15;18;6;1
64.77;26;26;54.82;13;11;19;6;1
38.93;23;23;34.16;18;13;19;6;1
35.7;9;9;31.56;6;16;19;6;1
230.77;61;61;206.93;55;1;1;7;1
115.26;45;45;101.3;28;3;1;7;1
86.32;51;51;70.32;45;10;1;7;1
84.63;142;142;75.36;106;15;2;7;1
96.13;87;87;79.8;81;17;2;7;1
62.78;85;85;54.01;75;14;3;7;1
34.98;71;71;30.07;40;19;3;7;1
28.51;26;26;23.65;14;20;3;7;1
67.81;44;44;58.6;27;5;4;7;1
49.57;48;48;41.48;31;6;4;7;1
2.52;4;4;2.13;2;13;4;7;1
13.81;8;8;12.22;4;5;5;7;1
373.49;98;98;330.2;55;9;5;7;1
23.49;9;9;21.04;9;15;5;7;1
59.35;54;54;50.37;42;10;10;7;1
39.51;81;81;35.55;74;17;10;7;1
66.88;91;91;53.74;59;20;10;7;1
40.08;58;58;34.76;40;5;11;7;1
6.13;6;6;5.22;5;13;11;7;1
59.86;39;39;50.49;37;20;11;7;1
313.61;82;82;270.42;71;2;14;7;1
150.91;89;89;127.45;52;13;14;7;1
38.91;15;15;34.23;10;18;14;7;1
237.55;94;94;192.55;53;5;15;7;1
132.58;78;78;106.73;60;16;15;7;1
98.68;26;26;80.52;19;19;15;7;1
102.87;99;99;87.68;67;5;17;7;1
93.75;60;60;80.27;59;15;17;7;1
40.82;59;59;33.07;43;17;17;7;1
38.66;56;56;34.22;43;5;18;7;1
44.14;43;43;38.83;40;9;18;7;1
116.01;75;75;96.6;73;14;18;7;1
149.07;88;88;129.24;85;4;19;7;1
257.29;91;91;220.39;68;14;19;7;1
125.04;55;55;106.37;41;1;1;8;1
118.65;31;31;106.05;19;15;1;8;1
20.64;28;28;18.56;18;10;2;8;1
14.51;30;30;12.82;20;11;2;8;1
90.58;82;82;73.96;59;16;2;8;1
50.02;45;45;44.55;39;12;3;8;1
20.63;28;28;16.85;22;13;3;8;1
11.54;24;24;9.28;19;17;3;8;1
22.27;22;22;19.48;21;1;4;8;1
23.63;34;34;19.06;20;13;4;8;1
29.48;19;19;25.21;19;18;4;8;1
67.81;40;40;60.75;30;14;5;8;1
204.26;54;54;175.93;48;17;5;8;1
98.65;39;39;84.23;34;18;5;8;1
27.44;47;47;23.87;45;1;6;8;1
132.69;100;100;113.87;63;3;6;8;1
35.06;40;40;28.76;25;16;6;8;1
1.77;2;2;1.55;1;3;10;8;1
37.36;51;51;32.1;40;5;10;8;1
38.46;78;78;31.64;47;10;10;8;1
13.83;13;13;11.24;8;7;11;8;1
21.51;31;31;18.72;22;9;11;8;1
89.73;58;58;80.7;33;12;11;8;1
23.37;40;40;20.62;21;6;12;8;1
101.0;76;76;88.72;53;12;12;8;1
28.9;33;33;25.2;30;18;12;8;1
9.32;7;7;7.77;4;4;13;8;1
12.22;21;21;10.77;11;13;13;8;1
50.7;57;57;44.0;56;19;13;8;1
78.01;31;31;66.18;28;3;14;8;1
189.0;50;50;166.5;34;9;14;8;1
54.45;32;32;46.83;22;17;14;8;1
90.72;24;24;77.69;15;1;15;8;1
117.67;70;70;98.86;35;13;15;8;1
71.07;28;28;60.69;21;17;15;8;1
126.12;128;128;108.23;109;12;16;8;1
17.68;20;20;14.86;10;13;16;8;1
25.05;36;36;21.62;21;1;17;8;1
77.76;75;75;68.59;68;5;17;8;1
132.12;85;85;115.91;75;19;17;8;1
57.8;37;37;46.98;28;7;18;8;1
41.44;60;60;35.44;31;9;18;8;1
67.99;66;66;58.17;41;16;18;8;1
288.42;76;76;236.47;40;2;19;8;1
28.73;17;17;24.41;12;6;19;8;1
130.96;52;52;110.19;50;12;19;8;1
75.46;57;57;66.75;30;2;20;8;1
28.1;48;48;23.95;41;3;20;8;1
54.06;61;61;47.41;52;5;20;8;1
33.47;20;20;27.31;12;1;1;9;1
39.89;10;10;33.81;9;6;1;9;1
84.93;34;34;74.89;32;16;1;9;1
65.86;90;90;59.0;73;3;2;9;1
42.05;38;38;35.62;38;6;2;9;1
41.81;85;85;36.74;55;7;2;9;1
16.77;34;34;13.58;21;4;3;9;1
63.68;58;58;52.03;50;8;3;9;1
42.62;58;58;35.75;57;19;3;9;1
17.26;25;25;15.43;24;4;4;9;1
19.82;15;15;17.0;11;10;4;9;1
87.27;23;23;73.29;15;1;5;9;1
103.55;61;61;87.7;53;18;5;9;1
208.44;82;82;172.06;52;20;5;9;1
0.14;0;0;0.12;0;12;6;9;1
50.99;58;58;44.84;45;15;6;9;1
20.22;34;34;16.92;24;20;6;9;1
6.83;14;14;5.85;12;2;10;9;1
28.56;39;39;22.92;38;6;10;9;1
9.22;8;8;7.6;6;17;10;9;1
24.47;35;35;20.51;33;7;11;9;1
91.27;59;59;76.03;44;14;11;9;1
54.3;52;52;48.82;38;20;11;9;1
0.07;0;0;0.05;0;1;12;9;1
50.23;85;85;40.98;60;2;12;9;1
16.82;19;19;13.83;13;20;12;9;1
17.63;20;20;14.55;13;4;13;9;1
102.68;77;77;91.41;65;6;13;9;1
54.43;92;92;46.87;68;11;13;9;1
241.89;95;95;197.42;78;1;14;9;1
98.18;58;58;83.53;52;9;14;9;1
337.49;89;89;273.62;64;17;14;9;1
106.34;28;28;90.92;25;5;15;9;1
216.47;85;85;175.53;69;14;15;9;1
120.08;71;71;99.82;64;20;15;9;1
55.87;95;95;44.71;64;5;16;9;1
107.31;81;81;90.04;51;14;16;9;1
74.94;85;85;62.34;44;17;16;9;1
51.24;50;50;41.49;29;8;17;9;1
63.56;92;92;56.66;62;10;17;9;1
56.22;36;36;49.6;23;17;17;9;1
9.84;14;14;8.79;11;3;18;9;1
66.08;64;64;57.62;36;6;18;9;1
77.76;50;50;65.11;27;10;18;9;1
120.34;71;71;102.02;64;3;19;9;1
45.57;12;12;37.3;8;12;19;9;1
193.02;76;76;155.79;47;19;19;9;1
105.56;80;80;93.42;67;9;20;9;1
10.76;18;18;9.1;15;14;20;9;1
8.84;10;10;7.59;9;15;20;9;1
378.59;100;100;320.44;75;1;1;10;1
53.35;21;21;43.54;15;9;1;10;1
90.87;54;54;80.08;31;18;1;10;1
148.52;96;96;124.25;90;7;4;10;1
55.8;54;54;45.64;29;11;4;10;1
58.35;85;85;51.96;46;13;4;10;1
22.88;26;26;19.76;18;2;6;10;1
32.66;55;55;26.63;43;9;6;10;1
40.63;31;31;33.56;16;19;6;10;1
60.71;88;88;52.79;82;2;11;10;1
29.54;19;19;25.06;12;5;11;10;1
59.56;58;58;51.69;47;18;11;10;1
28.22;48;48;25.01;38;4;12;10;1
31.96;24;24;27.59;20;5;12;10;1
33.5;38;38;27.51;21;12;12;10;1
23.51;27;27;20.05;18;1;13;10;1
79.35;60;60;66.26;57;2;13;10;1
7.53;13;13;6.52;7;18;13;10;1
52.69;89;89;45.16;46;6;16;10;1
20.78;23;23;17.8;14;9;16;10;1
92.56;70;70;81.25;68;16;16;10;1
14.63;14;14;11.73;11;1;17;10;1
61.61;89;89;52.91;78;6;17;10;1
93.17;60;60;76.94;39;15;17;10;1
61.03;88;88;54.05;48;3;18;10;1
56.09;54;54;49.24;38;13;18;10;1
114.23;74;74;93.56;43;14;18;10;1
76.23;86;86;67.87;79;3;20;10;1
41.68;71;71;36.5;61;5;20;10;1
104.91;79;79;88.13;61;13;20;10;1
167.75;99;99;146.78;56;1;1;11;1
342.73;90;90;296.11;67;13;1;11;1
31.05;12;12;27.7;11;19;1;11;1
72.43;73;73;64.92;57;10;4;11;1
1.28;1;1;1.14;1;17;4;11;1
68.00999999999999;76;76;58.59;42;12;6;11;1
5.33;9;9;4.35;5;13;6;11;1
15.6;23;23;13.13;21;7;11;11;1
89.65;58;58;72.71;55;10;11;11;1
11.22;11;11;9.68;10;19;11;11;1
25.83;29;29;21.45;19;8;12;11;1
9.28;7;7;7.81;4;19;12;11;1
39.98;68;68;35.63;49;20;12;11;1
31.63;36;36;25.61;32;5;13;11;1
43.34;73;73;37.32;49;12;13;11;1
93.78;71;71;78.15;60;17;13;11;1
46.66;44;44;39.67;29;6;16;11;1
21.05;36;36;17.08;32;12;16;11;1
1.92;1;1;1.67;1;1;17;11;1
38.55;37;37;31.46;20;6;17;11;1
19.36;28;28;16.75;26;15;17;11;1
42.35;41;41;33.96;32;7;18;11;1
61.86;90;90;54.94;57;14;18;11;1
145.93;94;94;129.15;86;19;18;11;1
95.7;104;104;78.87;61;9;20;11;1
7.29;12;12;6.22;6;10;20;11;1
82.97;22;22;66.55;13;1;1;12;1
283.33000000000004;127;127;238.16000000000005;85;14;1;12;1
32.4;66;66;28.41;34;1;2;12;1
21.77;20;20;19.42;17;15;2;12;1
26.22;36;36;21.33;35;19;2;12;1
94.18;85;85;77.46;57;3;3;12;1
13.14;18;18;10.95;15;6;3;12;1
31.09;63;63;27.77;62;14;3;12;1
8.2;8;8;6.85;5;13;4;12;1
23.34;15;15;20.73;14;14;4;12;1
26.73;39;39;24.05;28;15;4;12;1
82.68;22;22;71.19;14;8;5;12;1
153.69;61;61;126.49;32;13;5;12;1
44.44;26;26;37.03;23;20;5;12;1
51.7;39;39;43.67;27;13;6;12;1
8.58;10;10;7.21;8;18;6;12;1
36.91;63;63;31.48;46;19;6;12;1
68.3;93;93;57.63;91;10;10;12;1
1.66;3;3;1.46;2;11;10;12;1
53.27;48;48;47.68;37;13;10;12;1
24.88;36;36;21.78;35;4;11;12;1
51.23;49;49;41.85;29;8;11;12;1
60.21;39;39;52.92;37;16;11;12;1
25.73;44;44;22.3;33;1;12;12;1
26.57;20;20;23.19;12;10;12;12;1
65.36;74;74;53.17;41;13;12;12;1
16.3;28;28;14.03;25;5;13;12;1
49.61;56;56;43.77;50;9;13;12;1
83.54;63;63;69.19;56;12;13;12;1
73.77;19;19;63.24;19;1;14;12;1
93.07;55;55;83.46;38;4;14;12;1
217.93;86;86;179.95;63;18;14;12;1
139.3;37;37;112.57;21;2;15;12;1
150.33;79;79;129.85;52;19;15;12;1
11.86;9;9;10.21;7;7;16;12;1
71.73;81;81;59.62;52;16;16;12;1
22.56;38;38;18.73;37;18;16;12;1
27.59;18;18;23.95;15;2;17;12;1
73.23;71;71;60.92;52;10;17;12;1
1.87;3;3;1.6;1;17;17;12;1
10.92;16;16;9.04;14;2;18;12;1
40.3;39;39;33.76;37;6;18;12;1
1.82;1;1;1.49;1;14;18;12;1
53.12;31;31;46.46;26;5;19;12;1
139.59;55;55;112.28;30;7;19;12;1
136.88;36;36;113.99;35;8;19;12;1
116.99;88;88;96.06;52;4;20;12;1
31.16;53;53;27.45;42;10;20;12;1
53.2;60;60;47.2;34;15;20;12;1
161.66;64;64;144.74;55;1;1;13;1
111.87;29;29;97.13;27;3;1;13;1
152.89;90;90;134.59;87;20;1;13;1
25.46;35;35;21.31;33;5;2;13;1
10.84;22;22;9.09;17;15;2;13;1
67.74;61;61;54.88;36;16;2;13;1
14.46;30;30;12.05;28;4;3;13;1
56.91;77;77;48.89;75;11;3;13;1
83.33;76;76;70.94;66;18;3;13;1
139.8;90;90;125.18;87;1;4;13;1
72.8;70;70;58.34;56;4;4;13;1
38.67;56;56;33.14;47;13;4;13;1
190.6;75;75;153.02;45;6;5;13;1
11.93;3;3;9.83;2;7;5;13;1
98.15;58;58;82.02;42;13;5;13;1
92.02;69;69;82.17;35;6;6;13;1
65.59;74;74;55.15;37;16;6;13;1
54.58;93;93;44.41;63;20;6;13;1
49.04;67;67;43.53;52;4;10;13;1
12.58;11;11;10.71;10;19;10;13;1
28.28;58;58;24.55;32;20;10;13;1
24.32;35;35;21.7;22;4;11;13;1
3.42;3;3;2.78;3;6;11;13;1
150.56;97;97;134.56;50;7;11;13;1
18.72;21;21;16.38;15;1;12;13;1
31.44;53;53;25.62;32;6;12;13;1
3.25;2;2;2.82;2;10;12;13;1
18.18;14;14;15.02;11;3;13;13;1
6.06;7;7;5.4;7;12;13;13;1
29.76;50;50;25.37;38;20;13;13;1
349.87;141;141;299.35;104;4;14;13;1
175.84;69;69;148.98;67;8;14;13;1
120.8;52;52;102.96;31;10;15;13;1
61.94;16;16;55.44;8;15;15;13;1
46.01;52;52;40.89;44;3;16;13;1
72.69;55;55;65.27;42;14;16;13;1
8.74;15;15;7.01;7;18;16;13;1
83.66;81;81;74.63;49;9;17;13;1
112.52;72;72;98.7;51;12;17;13;1
53.3;77;77;43.86;60;13;17;13;1
18.3;18;18;15.82;13;2;18;13;1
30.28;44;44;24.4;41;4;18;13;1
112.53;72;72;98.41;71;11;18;13;1
226.04;59;59;190.81;41;5;19;13;1
69.2;27;27;59.21;20;13;19;13;1
129.05;76;76;110.52;74;19;19;13;1
21.94;17;17;19.56;14;1;20;13;1
36.43;62;62;30.83;34;7;20;13;1
45.36;51;51;40.38;51;10;20;13;1
233.09;62;62;200.38;58;1;1;14;1
171.56;68;68;148.44;53;14;1;14;1
81.58;74;74;68.84;52;1;2;14;1
66.02;90;90;54.51;88;10;2;14;1
18.44;38;38;15.48;20;15;2;14;1
43.72;40;40;36.04;29;7;3;14;1
44.32;60;60;39.04;37;8;3;14;1
41.87;85;85;37.36;49;14;3;14;1
78.69;76;76;64.0;47;7;4;14;1
113.33;73;73;97.92;44;10;4;14;1
1.06;2;2;0.88;1;20;4;14;1
142.13;37;37;126.77;32;6;5;14;1
150.44;89;89;127.01;68;10;5;14;1
110.01;43;43;90.9;33;18;5;14;1
72.64;65;65;60.53;46;5;6;14;1
10.43;18;18;8.96;11;18;6;14;1
24.21;33;33;20.23;21;8;10;14;1
7.72;16;16;6.21;12;10;10;14;1
60.01;54;54;51.81;46;14;10;14;1
50.37;73;73;43.25;45;8;11;14;1
69.28;67;67;58.65;65;13;11;14;1
19.94;13;13;16.52;9;14;11;14;1
19.9;22;22;16.66;22;5;12;14;1
130.37;98;98;111.18;70;15;12;14;1
10.41;18;18;9.12;14;16;12;14;1
38.99;44;44;32.67;39;2;13;14;1
113.98;86;86;92.55;78;15;13;14;1
40.68;69;69;34.22;65;18;13;14;1
172.96;68;68;153.22;54;5;14;14;1
15.88;4;4;13.44;2;12;14;14;1
36.65;22;22;30.56;14;19;14;14;1
57.72;23;23;51.05;19;1;15;14;1
146.11;38;38;122.24;29;14;15;14;1
106.01;63;63;95.03;57;18;15;14;1
11.69;9;9;9.84;6;4;16;14;1
36.03;61;61;31.49;58;9;16;14;1
63.07;71;71;54.67;48;11;16;14;1
50.97;52;52;44.27;45;14;17;14;1
122.66;79;79;104.43;69;15;17;14;1
28.4;41;41;24.35;29;2;18;14;1
139.03;90;90;123.83;65;10;18;14;1
53.25;51;51;43.58;41;11;18;14;1
155.84;92;92;136.33;82;4;19;14;1
266.46;70;70;226.15;36;7;19;14;1
194.6;77;77;167.09;65;8;19;14;1
88.62;67;67;77.79;61;5;20;14;1
49.97;85;85;44.63;68;7;20;14;1
19.19;22;22;15.58;13;18;20;14;1
220.97;87;87;198.34;79;1;1;15;1
252.68;66;66;202.95;40;2;1;15;1
45.48;27;27;40.39;17;9;1;15;1
141.29;173;173;119.58;159;3;2;15;1
29.81;41;41;24.9;35;17;2;15;1
11.05;23;23;9.06;17;4;3;15;1
40.36;55;55;33.53;52;9;3;15;1
61.19;56;56;51.27;40;19;3;15;1
16.42;16;16;13.3;12;6;4;15;1
128.08;84;84;110.56;53;13;4;15;1
94.33;25;25;84.83;16;9;5;15;1
88.7;52;52;76.1;38;16;5;15;1
14.81;6;6;12.16;4;20;5;15;1
67.2;76;76;55.93;54;4;6;15;1
48.53;37;37;43.59;26;7;6;15;1
41.31;70;70;35.21;57;13;6;15;1
14.56;30;30;12.95;16;6;10;15;1
43.12;59;59;35.72;32;11;10;15;1
107.45;97;97;91.19;52;12;10;15;1
48.69;47;47;43.12;37;10;11;15;1
61.93;90;90;50.55;54;18;11;15;1
63.84;41;41;52.61;27;19;11;15;1
7.93;13;13;7.09;9;9;12;15;1
18.66;14;14;15.15;13;17;12;15;1
62.74;71;71;56.0;60;20;12;15;1
37.69;43;43;30.63;34;11;13;15;1
30.09;51;51;25.34;36;15;13;15;1
9.17;7;7;8.08;7;16;13;15;1
112.37;66;66;99.24;49;2;14;15;1
302.46000000000004;94;94;256.4;85;12;14;15;1
32.15;19;19;28.62;13;4;15;15;1
0.83;0;0;0.7;0;10;15;15;1
242.51;96;96;196.63;81;17;15;15;1
25.03;42;42;21.43;33;3;16;15;1
34.45;26;26;29.790000000000003;14;6;16;15;1
110.76;71;71;92.51;66;1;17;15;1
67.56;65;65;56.87;61;12;17;15;1
41.03;59;59;33.73;43;17;17;15;1
21.32;31;31;17.17;22;4;18;15;1
92.67;90;90;81.53;63;9;18;15;1
35.02;23;23;29.88;13;18;18;15;1
273.32;72;72;232.05;37;6;19;15;1
36.66;22;22;32.1;11;10;19;15;1
147.51;58;58;124.69;54;12;19;15;1
106.22;119;119;89.45;102;2;20;15;1
69.85;79;79;56.34;42;11;20;15;1
53.6;14;14;46.26;8;1;1;16;1
113.0;66;66;95.65;58;18;1;16;1
100.57;105;105;85.96000000000001;57;1;2;16;1
58.55;80;80;48.77;66;16;2;16;1
21.36;44;44;18.62;40;5;3;16;1
97.31;118;118;81.27000000000001;101;17;3;16;1
